Week,S&P 500 Index: (Worldwide)
2013-02-17,14
2013-02-24,14
2013-03-03,17
2013-03-10,16
2013-03-17,14
2013-03-24,15
2013-03-31,14
2013-04-07,16
2013-04-14,15
2013-04-21,16
2013-04-28,16
2013-05-05,15
2013-05-12,14
2013-05-19,14
2013-05-26,12
2013-06-02,14
2013-06-09,13
2013-06-16,16
2013-06-23,15
2013-06-30,12
2013-07-07,15
2013-07-14,14
2013-07-21,14
2013-07-28,14
2013-08-04,15
2013-08-11,14
2013-08-18,14
2013-08-25,13
2013-09-01,11
2013-09-08,14
2013-09-15,16
2013-09-22,14
2013-09-29,15
2013-10-06,16
2013-10-13,18
2013-10-20,15
2013-10-27,16
2013-11-03,15
2013-11-10,15
2013-11-17,16
2013-11-24,13
2013-12-01,15
2013-12-08,14
2013-12-15,13
2013-12-22,12
2013-12-29,15
2014-01-05,14
2014-01-12,17
2014-01-19,14
2014-01-26,19
2014-02-02,19
2014-02-09,16
2014-02-16,15
2014-02-23,18
2014-03-02,18
2014-03-09,16
2014-03-16,16
2014-03-23,15
2014-03-30,16
2014-04-06,18
2014-04-13,16
2014-04-20,15
2014-04-27,15
2014-05-04,14
2014-05-11,15
2014-05-18,14
2014-05-25,14
2014-06-01,15
2014-06-08,15
2014-06-15,14
2014-06-22,14
2014-06-29,13
2014-07-06,15
2014-07-13,15
2014-07-20,14
2014-07-27,17
2014-08-03,17
2014-08-10,15
2014-08-17,17
2014-08-24,17
2014-08-31,15
2014-09-07,15
2014-09-14,17
2014-09-21,17
2014-09-28,18
2014-10-05,21
2014-10-12,28
2014-10-19,23
2014-10-26,20
2014-11-02,20
2014-11-09,19
2014-11-16,19
2014-11-23,15
2014-11-30,19
2014-12-07,19
2014-12-14,23
2014-12-21,16
2014-12-28,18
2015-01-04,23
2015-01-11,22
2015-01-18,19
2015-01-25,21
2015-02-01,21
2015-02-08,20
2015-02-15,19
2015-02-22,19
2015-03-01,20
2015-03-08,20
2015-03-15,19
2015-03-22,19
2015-03-29,18
2015-04-05,18
2015-04-12,18
2015-04-19,18
2015-04-26,18
2015-05-03,17
2015-05-10,16
2015-05-17,17
2015-05-24,15
2015-05-31,16
2015-06-07,16
2015-06-14,16
2015-06-21,16
2015-06-28,19
2015-07-05,22
2015-07-12,18
2015-07-19,18
2015-07-26,18
2015-08-02,18
2015-08-09,18
2015-08-16,24
2015-08-23,53
2015-08-30,31
2015-09-06,23
2015-09-13,23
2015-09-20,22
2015-09-27,26
2015-10-04,23
2015-10-11,22
2015-10-18,21
2015-10-25,21
2015-11-01,21
2015-11-08,19
2015-11-15,20
2015-11-22,15
2015-11-29,21
2015-12-06,20
2015-12-13,23
2015-12-20,17
2015-12-27,19
2016-01-03,32
2016-01-10,37
2016-01-17,38
2016-01-24,30
2016-01-31,30
2016-02-07,35
2016-02-14,27
2016-02-21,28
2016-02-28,27
2016-03-06,27
2016-03-13,26
2016-03-20,22
2016-03-27,25
2016-04-03,24
2016-04-10,24
2016-04-17,24
2016-04-24,24
2016-05-01,24
2016-05-08,22
2016-05-15,23
2016-05-22,23
2016-05-29,20
2016-06-05,23
2016-06-12,22
2016-06-19,34
2016-06-26,38
2016-07-03,24
2016-07-10,32
2016-07-17,26
2016-07-24,24
2016-07-31,24
2016-08-07,21
2016-08-14,21
2016-08-21,21
2016-08-28,21
2016-09-04,20
2016-09-11,26
2016-09-18,23
2016-09-25,22
2016-10-02,20
2016-10-09,23
2016-10-16,21
2016-10-23,21
2016-10-30,26
2016-11-06,54
2016-11-13,26
2016-11-20,21
2016-11-27,24
2016-12-04,26
2016-12-11,26
2016-12-18,22
2016-12-25,19
2017-01-01,23
2017-01-08,24
2017-01-15,23
2017-01-22,27
2017-01-29,27
2017-02-05,23
2017-02-12,26
2017-02-19,24
2017-02-26,31
2017-03-05,27
2017-03-12,25
2017-03-19,30
2017-03-26,27
2017-04-02,26
2017-04-09,24
2017-04-16,23
2017-04-23,27
2017-04-30,25
2017-05-07,25
2017-05-14,29
2017-05-21,24
2017-05-28,22
2017-06-04,25
2017-06-11,25
2017-06-18,24
2017-06-25,25
2017-07-02,21
2017-07-09,26
2017-07-16,25
2017-07-23,25
2017-07-30,27
2017-08-06,27
2017-08-13,29
2017-08-20,23
2017-08-27,25
2017-09-03,22
2017-09-10,26
2017-09-17,26
2017-09-24,25
2017-10-01,26
2017-10-08,25
2017-10-15,26
2017-10-22,29
2017-10-29,27
2017-11-05,26
2017-11-12,26
2017-11-19,22
2017-11-26,30
2017-12-03,31
2017-12-10,28
2017-12-17,29
2017-12-24,23
2017-12-31,30
2018-01-07,33
2018-01-14,35
2018-01-21,37
2018-01-28,45
2018-02-04,100
2018-02-11,56
